INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (1,'Alice da Silva','86739605','78057358035','F','1997-9-2');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (2,'Alice dos Santos','2292305','7365807988','F','1988-10-14');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (3,'Alice Pereira','14689521','97490893874','F','1987-5-12');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (4,'Alice Alves','62053095','56243185582','F','1996-4-15');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (5,'Alice Ferreira','52050879','94277001523','F','1986-1-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (6,'Alice de Oliveira','18748303','35471993320','F','2001-3-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (7,'Alice Silva','59842748','32664697326','F','1992-9-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (8,'Alice Rodrigues','29671447','45312385499','F','1996-9-14');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (9,'Alice de Souza','63524517','23335475561','F','1981-1-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (10,'Alice Gomes','81644861','60255644971','F','1979-12-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (11,'Alice Santos','38300837','41217589759','F','2002-9-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (12,'Alice Oliveira','78159862','47228810140','F','1967-9-9');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (13,'Alice Ribeiro','32252556','37436563423','F','1982-2-18');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (14,'Alice Martins','61900583','93410909525','F','1993-11-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (15,'Alice Gonçalves','97201644','78758761891','F','1963-1-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (16,'Alice Soares','17053715','33434840069','F','1974-11-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (17,'Alice Barbosa','92027740','46897756183','F','1979-4-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (18,'Alice Lopes','57567942','41446664944','F','1986-2-12');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (19,'Alice Vieira','76457744','41778993366','F','1997-5-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (20,'Alice Souza','67527988','97260904333','F','1985-2-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (21,'Alice Fernandes','38653602','30505473104','F','1995-3-16');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (22,'Alice Lima','16997075','24952157840','F','2004-5-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (23,'Alice Costa','60008129','17210299004','F','1967-6-5');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (24,'Alice Batista','1060740','62039768371','F','2000-2-16');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (25,'Alice Dias','68280716','19498483199','F','1969-12-2');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (26,'Alice Moreira','43768609','96247068463','F','1997-7-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (27,'Alice de Lima','47852078','82541701136','F','1987-7-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (28,'Alice de Sousa','88542919','39920493416','F','1966-7-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (29,'Alice Nunes','39121690','91908921202','F','1997-9-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (30,'Alice da Costa','53958635','52736008110','F','1981-8-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (31,'Alice de Almeida','28586059','37123873770','F','1999-7-14');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (32,'Alice Mendes','79040028','84700665894','F','1994-5-12');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (33,'Alice Carvalho','54482434','10878630638','F','1998-5-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (34,'Alice Araujo','98334728','28890747129','F','1980-1-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (35,'Alice Cardoso','75281408','92649651996','F','1983-4-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (36,'Alice Teixeira','27039507','9830406209','F','1987-7-17');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (37,'Alice Marques','78871702','63980287753','F','1987-1-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (38,'Alice do Nascimento','33495036','13720675503','F','1964-2-9');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (39,'Alice Almeida','42281363','15895874010','F','2004-1-2');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (40,'Alice Ramos','12842540','2221436561','F','1961-4-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (41,'Alice Machado','3865581','808919080','F','1969-7-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (42,'Alice Rocha','84575358','25496548449','F','1978-3-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (43,'Alice Nascimento','28280569','44882197940','F','1998-11-5');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (44,'Alice de Araujo','47508052','83013992098','F','1988-6-15');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (45,'Alice da Conceiçao','66543327','85885350554','F','1977-1-4');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (46,'Alice Bezerra','79551741','8568495095','F','1969-5-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (47,'Alice Sousa','28212948','28783418654','F','1962-6-12');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (48,'Alice Borges','99568814','29065008735','F','1964-3-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (49,'Alice Santana','51704698','25434653854','F','1997-12-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (50,'Alice de Carvalho','13004552','62000109429','F','1975-8-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (51,'Alice Aparecido','44074593','65412056423','F','1966-10-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (52,'Alice Pinto','8209317','52910505866','F','1988-8-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (53,'Alice Pinheiro','68234042','9068432607','F','1979-12-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (54,'Alice Monteiro','5852979','11495225788','F','1998-9-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (55,'Alice Andrade','92309818','9032088596','F','1968-6-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (56,'Alice Leite','74499555','59753492025','F','1975-7-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (57,'Alice Correa','38575386','76767529665','F','1965-9-22');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (58,'Alice Nogueira','10493212','98084575834','F','1969-9-14');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (59,'Alice Garcia','21025804','6228106035','F','2001-7-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (60,'Alice de Freitas','67285813','95564808992','F','1978-12-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (61,'Alice Henrique','6567671','73838127100','F','2000-6-9');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (62,'Alice Tavares','24026508','83507273590','F','1962-10-18');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (63,'Alice Coelho','98135465','83973947111','F','1976-10-16');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (64,'Alice Pires','94378319','69407957298','F','1994-5-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (65,'Alice de Paula','19979631','93524835259','F','1981-3-15');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (66,'Alice Correia','17062191','9184045362','F','1995-7-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (67,'Alice Miranda','55711701','82725308109','F','1996-1-2');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (68,'Alice de Jesus','25407677','58778443284','F','1961-7-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (69,'Alice Duarte','49037482','83538697591','F','1986-8-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (70,'Alice Freitas','73338588','29435392275','F','1971-6-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (71,'Alice Barros','80659294','18692115557','F','2003-6-5');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (72,'Alice de Andrade','27178078','95656306951','F','1968-7-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (73,'Alice Campos','92720481','29173365393','F','1976-7-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (74,'Alice Sántos','93035076','70716168791','F','1999-1-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (75,'Alice de Melo','80265784','3446200111','F','1985-9-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (76,'Alice da Cruz','63613812','16370362530','F','1978-1-16');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (77,'Alice Reis','14926461','46418591716','F','1983-8-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (78,'Alice Guimaraes','56121966','97652214261','F','1984-11-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (79,'Alice Moraes','10429283','20355424525','F','1977-10-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (80,'Alice do Carmo','17112834','13448717382','F','1984-4-16');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (81,'Alice dos Reis','18916230','8425043388','F','1992-7-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (82,'Alice Viana','75950418','69992510756','F','1972-3-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (83,'Alice de Castro','78653465','66486580417','F','1983-7-10');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (84,'Alice Silveira','61577154','193050072','F','1983-9-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (85,'Alice Moura','74855803','37051684250','F','1973-12-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (86,'Alice Brito','93291831','42674121181','F','1982-1-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (87,'Alice Neves','97107262','58998474901','F','1964-1-23');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (88,'Alice Carneiro','20824255','67487367323','F','1973-12-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (89,'Alice Melo','34221517','91046187057','F','1984-11-22');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (90,'Alice Medeiros','62747153','24035041340','F','1999-5-18');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (91,'Alice Cordeiro','59330200','69009864674','F','1995-10-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (92,'Alice Conceição','22642088','66118458795','F','1960-10-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (93,'Alice Farias','27276953','95320706444','F','1993-5-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (94,'Alice Dantas','82195375','81541170895','F','1962-1-4');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (95,'Alice Cavalcante','19694580','61357956738','F','1993-5-23');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (96,'Alice da Rocha','26457589','50830442216','F','1969-3-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (97,'Alice de Assis','31886903','22272873680','F','1991-3-25');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (98,'Alice Braga','23069594','68497747384','F','1984-10-13');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (99,'Alice Cruz','70227042','95854636274','F','2004-8-31');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (100,'Alice Siqueira','13360398','9546539857','F','1999-7-27');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (101,'Miguel da Silva','48397771','7109650629','M','1964-1-9');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (102,'Miguel dos Santos','83693543','14167144239','M','1972-10-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (103,'Miguel Pereira','14840322','23745731093','M','1981-11-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (104,'Miguel Alves','41768681','9058144105','M','1986-8-12');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (105,'Miguel Ferreira','23965407','5224073722','M','1977-1-21');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (106,'Miguel de Oliveira','16950536','89133507230','M','1997-12-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (107,'Miguel Silva','98523125','46182535208','M','1992-11-20');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (108,'Miguel Rodrigues','93596325','32748962469','M','1996-8-29');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (109,'Miguel de Souza','71033496','23190236130','M','1994-8-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (110,'Miguel Gomes','82697886','52701929926','M','1975-3-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (111,'Miguel Santos','4294057','74197189302','M','1980-10-9');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (112,'Miguel Oliveira','58055298','77472687531','M','1998-5-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (113,'Miguel Ribeiro','59120491','22125530951','M','1974-3-6');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (114,'Miguel Martins','96169008','32549928884','M','1964-3-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (115,'Miguel Gonçalves','65760870','79079192069','M','1991-1-19');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (116,'Miguel Soares','65801372','98402398583','M','1994-1-3');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (117,'Miguel Barbosa','38200277','81868371383','M','1983-12-7');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (118,'Miguel Lopes','78555364','37441367221','M','1989-10-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (119,'Miguel Vieira','15707624','21316649700','M','1967-8-26');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (120,'Miguel Souza','43324842','19107737390','M','1999-8-23');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (121,'Miguel Fernandes','89291307','6172161446','M','1978-10-27');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (122,'Miguel Lima','51056285','62863525832','M','1981-10-8');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (123,'Miguel Costa','62376567','79655450569','M','1981-12-1');
INSERT INTO PESSOAS (SEQUENCIA, NOME, RG, CPF, SEXO, DATANASCIMENTO) VALUES (124,'Miguel Batista','35627180','79909606741','M','1963-8-19');
